"Town","FIPS","Year","Measure Type","Variable","Value"
"Hartland","0900337140","2010-2014","Crude Rate (per 100,000)","Deaths",-6666
"Hartland","0900337140","2010-2014","Number","Deaths",-6666
"Harwinton","0900537280","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Harwinton","0900537280","2006-2010","Crude Rate (per 100,000)","Deaths",7.12
"Harwinton","0900537280","2006-2010","Number","Deaths",2
"Harwinton","0900537280","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Harwinton","0900537280","2007-2011","Crude Rate (per 100,000)","Deaths",7.12
"Harwinton","0900537280","2007-2011","Number","Deaths",2
"Harwinton","0900537280","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Harwinton","0900537280","2008-2012","Crude Rate (per 100,000)","Deaths",7.09
"Harwinton","0900537280","2008-2012","Number","Deaths",2
"Harwinton","0900537280","2010-2014","AAMR (per 100,000)","Deaths",-6666
"Harwinton","0900537280","2010-2014","Crude Rate (per 100,000)","Deaths",10.73
"Harwinton","0900537280","2010-2014","Number","Deaths",3
"Hebron","0901337910","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Hebron","0901337910","2006-2010","Crude Rate (per 100,000)","Deaths",6.27
"Hebron","0901337910","2006-2010","Number","Deaths",3
"Hebron","0901337910","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Hebron","0901337910","2007-2011","Crude Rate (per 100,000)","Deaths",8.32
"Hebron","0901337910","2007-2011","Number","Deaths",4
"Hebron","0901337910","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Hebron","0901337910","2008-2012","Crude Rate (per 100,000)","Deaths",10.32
"Hebron","0901337910","2008-2012","Number","Deaths",5
"Hebron","0901337910","2010-2014","AAMR (per 100,000)","Deaths",-6666
"Hebron","0901337910","2010-2014","Crude Rate (per 100,000)","Deaths",12.47
"Hebron","0901337910","2010-2014","Number","Deaths",6
"Kent","0900540290","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Kent","0900540290","2006-2010","Crude Rate (per 100,000)","Deaths",-6666
"Kent","0900540290","2006-2010","Number","Deaths",-6666
"Kent","0900540290","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Kent","0900540290","2007-2011","Crude Rate (per 100,000)","Deaths",-6666
"Kent","0900540290","2007-2011","Number","Deaths",-6666
"Kent","0900540290","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Kent","0900540290","2008-2012","Crude Rate (per 100,000)","Deaths",-6666
"Kent","0900540290","2008-2012","Number","Deaths",-6666
"Kent","0900540290","2010-2014","AAMR (per 100,000)","Deaths",-6666
"Kent","0900540290","2010-2014","Crude Rate (per 100,000)","Deaths",6.79
"Kent","0900540290","2010-2014","Number","Deaths",1
"Killingly","0901540500","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Killingly","0901540500","2006-2010","Crude Rate (per 100,000)","Deaths",11.53
"Killingly","0901540500","2006-2010","Number","Deaths",10
"Killingly","0901540500","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Killingly","0901540500","2007-2011","Crude Rate (per 100,000)","Deaths",13.83
"Killingly","0901540500","2007-2011","Number","Deaths",12
"Killingly","0901540500","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Killingly","0901540500","2008-2012","Crude Rate (per 100,000)","Deaths",16.12
"Killingly","0901540500","2008-2012","Number","Deaths",14
"Killingly","0901540500","2010-2014","AAMR (per 100,000)","Deaths",-6666
"Killingly","0901540500","2010-2014","Crude Rate (per 100,000)","Deaths",13.89
"Killingly","0901540500","2010-2014","Number","Deaths",12
"Killingworth","0900740710","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Killingworth","0900740710","2006-2010","Crude Rate (per 100,000)","Deaths",15.42
"Killingworth","0900740710","2006-2010","Number","Deaths",5
"Killingworth","0900740710","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Killingworth","0900740710","2007-2011","Crude Rate (per 100,000)","Deaths",18.46
"Killingworth","0900740710","2007-2011","Number","Deaths",6
"Killingworth","0900740710","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Killingworth","0900740710","2008-2012","Crude Rate (per 100,000)","Deaths",21.46
"Killingworth","0900740710","2008-2012","Number","Deaths",7
"Killingworth","0900740710","2010-2014","AAMR (per 100,000)","Deaths",-6666
"Killingworth","0900740710","2010-2014","Crude Rate (per 100,000)","Deaths",15.36
"Killingworth","0900740710","2010-2014","Number","Deaths",5
"Lebanon","0901142390","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Lebanon","0901142390","2006-2010","Crude Rate (per 100,000)","Deaths",5.51
"Lebanon","0901142390","2006-2010","Number","Deaths",2
"Lebanon","0901142390","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Lebanon","0901142390","2007-2011","Crude Rate (per 100,000)","Deaths",2.75
"Lebanon","0901142390","2007-2011","Number","Deaths",1
"Lebanon","0901142390","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Lebanon","0901142390","2008-2012","Crude Rate (per 100,000)","Deaths",5.47
"Lebanon","0901142390","2008-2012","Number","Deaths",2
"Lebanon","0901142390","2010-2014","AAMR (per 100,000)","Deaths",-6666
"Lebanon","0901142390","2010-2014","Crude Rate (per 100,000)","Deaths",10.95
"Lebanon","0901142390","2010-2014","Number","Deaths",4
"Ledyard","0901142600","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Ledyard","0901142600","2006-2010","Crude Rate (per 100,000)","Deaths",6.66
"Ledyard","0901142600","2006-2010","Number","Deaths",5
"Ledyard","0901142600","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Ledyard","0901142600","2007-2011","Crude Rate (per 100,000)","Deaths",9.32
"Ledyard","0901142600","2007-2011","Number","Deaths",7
"Ledyard","0901142600","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Ledyard","0901142600","2008-2012","Crude Rate (per 100,000)","Deaths",9.3
"Ledyard","0901142600","2008-2012","Number","Deaths",7
"Ledyard","0901142600","2010-2014","AAMR (per 100,000)","Deaths",-6666
"Ledyard","0901142600","2010-2014","Crude Rate (per 100,000)","Deaths",7.96
"Ledyard","0901142600","2010-2014","Number","Deaths",6
"Lisbon","0901143230","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Lisbon","0901143230","2006-2010","Crude Rate (per 100,000)","Deaths",4.64
"Lisbon","0901143230","2006-2010","Number","Deaths",1
"Lisbon","0901143230","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Lisbon","0901143230","2007-2011","Crude Rate (per 100,000)","Deaths",4.63
"Lisbon","0901143230","2007-2011","Number","Deaths",1
"Lisbon","0901143230","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Lisbon","0901143230","2008-2012","Crude Rate (per 100,000)","Deaths",4.61
"Lisbon","0901143230","2008-2012","Number","Deaths",1
"Lisbon","0901143230","2010-2014","AAMR (per 100,000)","Deaths",-6666
"Lisbon","0901143230","2010-2014","Crude Rate (per 100,000)","Deaths",9.21
"Lisbon","0901143230","2010-2014","Number","Deaths",2
"Litchfield","0900543370","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Litchfield","0900543370","2006-2010","Crude Rate (per 100,000)","Deaths",18.8
"Litchfield","0900543370","2006-2010","Number","Deaths",8
"Litchfield","0900543370","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Litchfield","0900543370","2007-2011","Crude Rate (per 100,000)","Deaths",16.5
"Litchfield","0900543370","2007-2011","Number","Deaths",7
"Litchfield","0900543370","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Litchfield","0900543370","2008-2012","Crude Rate (per 100,000)","Deaths",14.19
"Litchfield","0900543370","2008-2012","Number","Deaths",6
"Litchfield","0900543370","2010-2014","AAMR (per 100,000)","Deaths",-6666
"Litchfield","0900543370","2010-2014","Crude Rate (per 100,000)","Deaths",11.96
"Litchfield","0900543370","2010-2014","Number","Deaths",5
"Lyme","0901144210","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Lyme","0901144210","2006-2010","Crude Rate (per 100,000)","Deaths",17.22
"Lyme","0901144210","2006-2010","Number","Deaths",2
"Lyme","0901144210","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Lyme","0901144210","2007-2011","Crude Rate (per 100,000)","Deaths",17.19
"Lyme","0901144210","2007-2011","Number","Deaths",2
"Lyme","0901144210","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Lyme","0901144210","2008-2012","Crude Rate (per 100,000)","Deaths",24.95
"Lyme","0901144210","2008-2012","Number","Deaths",3
"Lyme","0901144210","2010-2014","AAMR (per 100,000)","Deaths",-6666
"Lyme","0901144210","2010-2014","Crude Rate (per 100,000)","Deaths",16.68
"Lyme","0901144210","2010-2014","Number","Deaths",2
"Madison","0900944560","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Madison","0900944560","2006-2010","Crude Rate (per 100,000)","Deaths",7.68
"Madison","0900944560","2006-2010","Number","Deaths",7
"Madison","0900944560","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Madison","0900944560","2007-2011","Crude Rate (per 100,000)","Deaths",7.67
"Madison","0900944560","2007-2011","Number","Deaths",7
"Madison","0900944560","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Madison","0900944560","2008-2012","Crude Rate (per 100,000)","Deaths",9.85
"Madison","0900944560","2008-2012","Number","Deaths",9
"Madison","0900944560","2010-2014","AAMR (per 100,000)","Deaths",-6666
"Madison","0900944560","2010-2014","Crude Rate (per 100,000)","Deaths",10.95
"Madison","0900944560","2010-2014","Number","Deaths",10
"Manchester","0900344700","2006-2010","AAMR (per 100,000)","Deaths",10.92
"Manchester","0900344700","2006-2010","Crude Rate (per 100,000)","Deaths",11.1
"Manchester","0900344700","2006-2010","Number","Deaths",32
"Manchester","0900344700","2007-2011","AAMR (per 100,000)","Deaths",9.64
"Manchester","0900344700","2007-2011","Crude Rate (per 100,000)","Deaths",9.67
"Manchester","0900344700","2007-2011","Number","Deaths",28
"Manchester","0900344700","2008-2012","AAMR (per 100,000)","Deaths",10.47
"Manchester","0900344700","2008-2012","Crude Rate (per 100,000)","Deaths",10.3
"Manchester","0900344700","2008-2012","Number","Deaths",30
"Manchester","0900344700","2010-2014","AAMR (per 100,000)","Deaths",10.24
"Manchester","0900344700","2010-2014","Crude Rate (per 100,000)","Deaths",10.99
"Manchester","0900344700","2010-2014","Number","Deaths",32
"Mansfield","0901344910","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Mansfield","0901344910","2006-2010","Crude Rate (per 100,000)","Deaths",6.96
"Mansfield","0901344910","2006-2010","Number","Deaths",9
"Mansfield","0901344910","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Mansfield","0901344910","2007-2011","Crude Rate (per 100,000)","Deaths",6.12
"Mansfield","0901344910","2007-2011","Number","Deaths",8
"Mansfield","0901344910","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Mansfield","0901344910","2008-2012","Crude Rate (per 100,000)","Deaths",7.53
"Mansfield","0901344910","2008-2012","Number","Deaths",10
"Mansfield","0901344910","2010-2014","AAMR (per 100,000)","Deaths",-6666
"Mansfield","0901344910","2010-2014","Crude Rate (per 100,000)","Deaths",3.83
"Mansfield","0901344910","2010-2014","Number","Deaths",5
"Marlborough","0900345820","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Marlborough","0900345820","2006-2010","Crude Rate (per 100,000)","Deaths",12.72
"Marlborough","0900345820","2006-2010","Number","Deaths",4
"Marlborough","0900345820","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Marlborough","0900345820","2007-2011","Crude Rate (per 100,000)","Deaths",12.63
"Marlborough","0900345820","2007-2011","Number","Deaths",4
"Marlborough","0900345820","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Marlborough","0900345820","2008-2012","Crude Rate (per 100,000)","Deaths",12.49
"Marlborough","0900345820","2008-2012","Number","Deaths",4
"Marlborough","0900345820","2010-2014","AAMR (per 100,000)","Deaths",-6666
"Marlborough","0900345820","2010-2014","Crude Rate (per 100,000)","Deaths",9.34
"Marlborough","0900345820","2010-2014","Number","Deaths",3
"Meriden","0900946520","2006-2010","AAMR (per 100,000)","Deaths",11.96
"Meriden","0900946520","2006-2010","Crude Rate (per 100,000)","Deaths",12.57
"Meriden","0900946520","2006-2010","Number","Deaths",38
"Meriden","0900946520","2007-2011","AAMR (per 100,000)","Deaths",12.36
"Meriden","0900946520","2007-2011","Crude Rate (per 100,000)","Deaths",12.87
"Meriden","0900946520","2007-2011","Number","Deaths",39
"Meriden","0900946520","2008-2012","AAMR (per 100,000)","Deaths",13.31
"Meriden","0900946520","2008-2012","Crude Rate (per 100,000)","Deaths",13.47
"Meriden","0900946520","2008-2012","Number","Deaths",41
"Meriden","0900946520","2010-2014","AAMR (per 100,000)","Deaths",13.25
"Meriden","0900946520","2010-2014","Crude Rate (per 100,000)","Deaths",13.53
"Meriden","0900946520","2010-2014","Number","Deaths",41
"Middlebury","0900946940","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Middlebury","0900946940","2006-2010","Crude Rate (per 100,000)","Deaths",2.71
"Middlebury","0900946940","2006-2010","Number","Deaths",1
"Middlebury","0900946940","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Middlebury","0900946940","2007-2011","Crude Rate (per 100,000)","Deaths",2.68
"Middlebury","0900946940","2007-2011","Number","Deaths",1
"Middlebury","0900946940","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Middlebury","0900946940","2008-2012","Crude Rate (per 100,000)","Deaths",2.64
"Middlebury","0900946940","2008-2012","Number","Deaths",1
"Middlebury","0900946940","2010-2014","AAMR (per 100,000)","Deaths",-6666
"Middlebury","0900946940","2010-2014","Crude Rate (per 100,000)","Deaths",5.28
"Middlebury","0900946940","2010-2014","Number","Deaths",2
"Middlefield","0900747080","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Middlefield","0900747080","2006-2010","Crude Rate (per 100,000)","Deaths",9.06
"Middlefield","0900747080","2006-2010","Number","Deaths",2
"Middlefield","0900747080","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Middlefield","0900747080","2007-2011","Crude Rate (per 100,000)","Deaths",13.58
"Middlefield","0900747080","2007-2011","Number","Deaths",3
"Middlefield","0900747080","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Middlefield","0900747080","2008-2012","Crude Rate (per 100,000)","Deaths",9.04
"Middlefield","0900747080","2008-2012","Number","Deaths",2
"Middlefield","0900747080","2010-2014","AAMR (per 100,000)","Deaths",-6666
"Middlefield","0900747080","2010-2014","Crude Rate (per 100,000)","Deaths",13.56
"Middlefield","0900747080","2010-2014","Number","Deaths",3
"Middletown","0900747360","2006-2010","AAMR (per 100,000)","Deaths",8.37
"Middletown","0900747360","2006-2010","Crude Rate (per 100,000)","Deaths",8.45
"Middletown","0900747360","2006-2010","Number","Deaths",20
"Middletown","0900747360","2007-2011","AAMR (per 100,000)","Deaths",9.65
"Middletown","0900747360","2007-2011","Crude Rate (per 100,000)","Deaths",10.1
"Middletown","0900747360","2007-2011","Number","Deaths",24
"Middletown","0900747360","2008-2012","AAMR (per 100,000)","Deaths",11.64
"Middletown","0900747360","2008-2012","Crude Rate (per 100,000)","Deaths",12.6
"Middletown","0900747360","2008-2012","Number","Deaths",30
"Middletown","0900747360","2010-2014","AAMR (per 100,000)","Deaths",12.62
"Middletown","0900747360","2010-2014","Crude Rate (per 100,000)","Deaths",13.92
"Middletown","0900747360","2010-2014","Number","Deaths",33
"Milford","0900947535","2006-2010","AAMR (per 100,000)","Deaths",8.74
"Milford","0900947535","2006-2010","Crude Rate (per 100,000)","Deaths",9.1
"Milford","0900947535","2006-2010","Number","Deaths",24
"Milford","0900947535","2007-2011","AAMR (per 100,000)","Deaths",7.43
"Milford","0900947535","2007-2011","Crude Rate (per 100,000)","Deaths",7.59
"Milford","0900947535","2007-2011","Number","Deaths",20
"Milford","0900947535","2008-2012","AAMR (per 100,000)","Deaths",8.75
"Milford","0900947535","2008-2012","Crude Rate (per 100,000)","Deaths",9.1
"Milford","0900947535","2008-2012","Number","Deaths",24
"Milford","0900947535","2010-2014","AAMR (per 100,000)","Deaths",9.41
"Milford","0900947535","2010-2014","Crude Rate (per 100,000)","Deaths",10.19
"Milford","0900947535","2010-2014","Number","Deaths",27
"Monroe","0900148620","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Monroe","0900148620","2006-2010","Crude Rate (per 100,000)","Deaths",5.18
"Monroe","0900148620","2006-2010","Number","Deaths",5
"Monroe","0900148620","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Monroe","0900148620","2007-2011","Crude Rate (per 100,000)","Deaths",9.28
"Monroe","0900148620","2007-2011","Number","Deaths",9
"Monroe","0900148620","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Monroe","0900148620","2008-2012","Crude Rate (per 100,000)","Deaths",7.18
"Monroe","0900148620","2008-2012","Number","Deaths",7
"Monroe","0900148620","2010-2014","AAMR (per 100,000)","Deaths",-6666
"Monroe","0900148620","2010-2014","Crude Rate (per 100,000)","Deaths",13.18
"Monroe","0900148620","2010-2014","Number","Deaths",13
"Montville","0901148900","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Montville","0901148900","2006-2010","Crude Rate (per 100,000)","Deaths",14.38
"Montville","0901148900","2006-2010","Number","Deaths",14
"Montville","0901148900","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Montville","0901148900","2007-2011","Crude Rate (per 100,000)","Deaths",13.33
"Montville","0901148900","2007-2011","Number","Deaths",13
"Montville","0901148900","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Montville","0901148900","2008-2012","Crude Rate (per 100,000)","Deaths",10.22
"Montville","0901148900","2008-2012","Number","Deaths",10
"Montville","0901148900","2010-2014","AAMR (per 100,000)","Deaths",16.98
"Montville","0901148900","2010-2014","Crude Rate (per 100,000)","Deaths",18.34
"Montville","0901148900","2010-2014","Number","Deaths",18
"Morris","0900549460","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Morris","0900549460","2006-2010","Crude Rate (per 100,000)","Deaths",8.13
"Morris","0900549460","2006-2010","Number","Deaths",1
"Morris","0900549460","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Morris","0900549460","2007-2011","Crude Rate (per 100,000)","Deaths",8.3
"Morris","0900549460","2007-2011","Number","Deaths",1
"Morris","0900549460","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Morris","0900549460","2008-2012","Crude Rate (per 100,000)","Deaths",8.38
"Morris","0900549460","2008-2012","Number","Deaths",1
"Morris","0900549460","2010-2014","AAMR (per 100,000)","Deaths",-6666
"Morris","0900549460","2010-2014","Crude Rate (per 100,000)","Deaths",16.99
"Morris","0900549460","2010-2014","Number","Deaths",2
"Naugatuck","0900949950","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Naugatuck","0900949950","2006-2010","Crude Rate (per 100,000)","Deaths",7.56
"Naugatuck","0900949950","2006-2010","Number","Deaths",12
"Naugatuck","0900949950","2007-2011","AAMR (per 100,000)","Deaths",12.2
"Naugatuck","0900949950","2007-2011","Crude Rate (per 100,000)","Deaths",11.96
"Naugatuck","0900949950","2007-2011","Number","Deaths",19
"Naugatuck","0900949950","2008-2012","AAMR (per 100,000)","Deaths",10.02
"Naugatuck","0900949950","2008-2012","Crude Rate (per 100,000)","Deaths",10.04
"Naugatuck","0900949950","2008-2012","Number","Deaths",16
"Naugatuck","0900949950","2010-2014","AAMR (per 100,000)","Deaths",12.6
"Naugatuck","0900949950","2010-2014","Crude Rate (per 100,000)","Deaths",12.59
"Naugatuck","0900949950","2010-2014","Number","Deaths",20
"New Britain","0900350440","2006-2010","AAMR (per 100,000)","Deaths",11.56
"New Britain","0900350440","2006-2010","Crude Rate (per 100,000)","Deaths",11.24
"New Britain","0900350440","2006-2010","Number","Deaths",41
"New Britain","0900350440","2007-2011","AAMR (per 100,000)","Deaths",11.2
"New Britain","0900350440","2007-2011","Crude Rate (per 100,000)","Deaths",10.4
"New Britain","0900350440","2007-2011","Number","Deaths",38
"New Britain","0900350440","2008-2012","AAMR (per 100,000)","Deaths",12.13
"New Britain","0900350440","2008-2012","Crude Rate (per 100,000)","Deaths",11.2
"New Britain","0900350440","2008-2012","Number","Deaths",41
"New Britain","0900350440","2010-2014","AAMR (per 100,000)","Deaths",11.71
"New Britain","0900350440","2010-2014","Crude Rate (per 100,000)","Deaths",10.67
"New Britain","0900350440","2010-2014","Number","Deaths",39
"New Canaan","0900150580","2006-2010","AAMR (per 100,000)","Deaths",-6666
"New Canaan","0900150580","2006-2010","Crude Rate (per 100,000)","Deaths",2.04
"New Canaan","0900150580","2006-2010","Number","Deaths",2
"New Canaan","0900150580","2007-2011","AAMR (per 100,000)","Deaths",-6666
"New Canaan","0900150580","2007-2011","Crude Rate (per 100,000)","Deaths",1.02
"New Canaan","0900150580","2007-2011","Number","Deaths",1
"New Canaan","0900150580","2008-2012","AAMR (per 100,000)","Deaths",-6666
"New Canaan","0900150580","2008-2012","Crude Rate (per 100,000)","Deaths",3.03
"New Canaan","0900150580","2008-2012","Number","Deaths",3
"New Canaan","0900150580","2010-2014","AAMR (per 100,000)","Deaths",-6666
"New Canaan","0900150580","2010-2014","Crude Rate (per 100,000)","Deaths",7.97
"New Canaan","0900150580","2010-2014","Number","Deaths",8
"New Fairfield","0900150860","2006-2010","AAMR (per 100,000)","Deaths",-6666
"New Fairfield","0900150860","2006-2010","Crude Rate (per 100,000)","Deaths",10.14
"New Fairfield","0900150860","2006-2010","Number","Deaths",7
"New Fairfield","0900150860","2007-2011","AAMR (per 100,000)","Deaths",-6666
"New Fairfield","0900150860","2007-2011","Crude Rate (per 100,000)","Deaths",10.11
"New Fairfield","0900150860","2007-2011","Number","Deaths",7
"New Fairfield","0900150860","2008-2012","AAMR (per 100,000)","Deaths",-6666
"New Fairfield","0900150860","2008-2012","Crude Rate (per 100,000)","Deaths",8.63
"New Fairfield","0900150860","2008-2012","Number","Deaths",6
"New Fairfield","0900150860","2010-2014","AAMR (per 100,000)","Deaths",-6666
"New Fairfield","0900150860","2010-2014","Crude Rate (per 100,000)","Deaths",5.69
"New Fairfield","0900150860","2010-2014","Number","Deaths",4
"New Hartford","0900551350","2006-2010","AAMR (per 100,000)","Deaths",-6666
"New Hartford","0900551350","2006-2010","Crude Rate (per 100,000)","Deaths",8.74
"New Hartford","0900551350","2006-2010","Number","Deaths",3
"New Hartford","0900551350","2007-2011","AAMR (per 100,000)","Deaths",-6666
"New Hartford","0900551350","2007-2011","Crude Rate (per 100,000)","Deaths",5.8
"New Hartford","0900551350","2007-2011","Number","Deaths",2
"New Hartford","0900551350","2008-2012","AAMR (per 100,000)","Deaths",-6666
"New Hartford","0900551350","2008-2012","Crude Rate (per 100,000)","Deaths",8.62
"New Hartford","0900551350","2008-2012","Number","Deaths",3
"New Hartford","0900551350","2010-2014","AAMR (per 100,000)","Deaths",-6666
"New Hartford","0900551350","2010-2014","Crude Rate (per 100,000)","Deaths",2.9
"New Hartford","0900551350","2010-2014","Number","Deaths",1
"New Haven","0900952070","2006-2010","AAMR (per 100,000)","Deaths",5.42
"New Haven","0900952070","2006-2010","Crude Rate (per 100,000)","Deaths",5.43
"New Haven","0900952070","2006-2010","Number","Deaths",35
"New Haven","0900952070","2007-2011","AAMR (per 100,000)","Deaths",7.23
"New Haven","0900952070","2007-2011","Crude Rate (per 100,000)","Deaths",7.12
"New Haven","0900952070","2007-2011","Number","Deaths",46
"New Haven","0900952070","2008-2012","AAMR (per 100,000)","Deaths",6.43
"New Haven","0900952070","2008-2012","Crude Rate (per 100,000)","Deaths",6.32
"New Haven","0900952070","2008-2012","Number","Deaths",41
"New Haven","0900952070","2010-2014","AAMR (per 100,000)","Deaths",7.43
"New Haven","0900952070","2010-2014","Crude Rate (per 100,000)","Deaths",7.07
"New Haven","0900952070","2010-2014","Number","Deaths",46
"Newington","0900352140","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Newington","0900352140","2006-2010","Crude Rate (per 100,000)","Deaths",9.22
"Newington","0900352140","2006-2010","Number","Deaths",14
"Newington","0900352140","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Newington","0900352140","2007-2011","Crude Rate (per 100,000)","Deaths",9.2
"Newington","0900352140","2007-2011","Number","Deaths",14
"Newington","0900352140","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Newington","0900352140","2008-2012","Crude Rate (per 100,000)","Deaths",9.16
"Newington","0900352140","2008-2012","Number","Deaths",14
"Newington","0900352140","2010-2014","AAMR (per 100,000)","Deaths",11.58
"Newington","0900352140","2010-2014","Crude Rate (per 100,000)","Deaths",13.71
"Newington","0900352140","2010-2014","Number","Deaths",21
"New London","0901152350","2006-2010","AAMR (per 100,000)","Deaths",-6666
"New London","0901152350","2006-2010","Crude Rate (per 100,000)","Deaths",8.73
"New London","0901152350","2006-2010","Number","Deaths",12
"New London","0901152350","2007-2011","AAMR (per 100,000)","Deaths",-6666
"New London","0901152350","2007-2011","Crude Rate (per 100,000)","Deaths",9.44
"New London","0901152350","2007-2011","Number","Deaths",13
"New London","0901152350","2008-2012","AAMR (per 100,000)","Deaths",-6666
"New London","0901152350","2008-2012","Crude Rate (per 100,000)","Deaths",10.14
"New London","0901152350","2008-2012","Number","Deaths",14
"New London","0901152350","2010-2014","AAMR (per 100,000)","Deaths",12.65
"New London","0901152350","2010-2014","Crude Rate (per 100,000)","Deaths",12.34
"New London","0901152350","2010-2014","Number","Deaths",17
"New Milford","0900552630","2006-2010","AAMR (per 100,000)","Deaths",-6666
"New Milford","0900552630","2006-2010","Crude Rate (per 100,000)","Deaths",7.81
"New Milford","0900552630","2006-2010","Number","Deaths",11
"New Milford","0900552630","2007-2011","AAMR (per 100,000)","Deaths",-6666
"New Milford","0900552630","2007-2011","Crude Rate (per 100,000)","Deaths",6.4
"New Milford","0900552630","2007-2011","Number","Deaths",9
"New Milford","0900552630","2008-2012","AAMR (per 100,000)","Deaths",-6666
"New Milford","0900552630","2008-2012","Crude Rate (per 100,000)","Deaths",9.96
"New Milford","0900552630","2008-2012","Number","Deaths",14
"New Milford","0900552630","2010-2014","AAMR (per 100,000)","Deaths",11.21
"New Milford","0900552630","2010-2014","Crude Rate (per 100,000)","Deaths",12.22
"New Milford","0900552630","2010-2014","Number","Deaths",17
"Newtown","0900152980","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Newtown","0900152980","2006-2010","Crude Rate (per 100,000)","Deaths",6.68
"Newtown","0900152980","2006-2010","Number","Deaths",9
"Newtown","0900152980","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Newtown","0900152980","2007-2011","Crude Rate (per 100,000)","Deaths",7.34
"Newtown","0900152980","2007-2011","Number","Deaths",10
"Newtown","0900152980","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Newtown","0900152980","2008-2012","Crude Rate (per 100,000)","Deaths",8.69
"Newtown","0900152980","2008-2012","Number","Deaths",12
"Newtown","0900152980","2010-2014","AAMR (per 100,000)","Deaths",-6666
"Newtown","0900152980","2010-2014","Crude Rate (per 100,000)","Deaths",9.3
"Newtown","0900152980","2010-2014","Number","Deaths",13
"Norfolk","0900553470","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Norfolk","0900553470","2006-2010","Crude Rate (per 100,000)","Deaths",-6666
"Norfolk","0900553470","2006-2010","Number","Deaths",-6666
"Norfolk","0900553470","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Norfolk","0900553470","2007-2011","Crude Rate (per 100,000)","Deaths",-6666
"Norfolk","0900553470","2007-2011","Number","Deaths",-6666
"Norfolk","0900553470","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Norfolk","0900553470","2008-2012","Crude Rate (per 100,000)","Deaths",-6666
"Norfolk","0900553470","2008-2012","Number","Deaths",-6666
